matchid,venue,innings,batting_team,bowler,runs
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,P Kumar,19
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Z Khan,19
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,AA Noffke,23
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,AB Dinda,9
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,I Sharma,9
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,AB Agarkar,8
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,B Lee,21
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,S Sreesanth,21
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,JR Hopes,11
335983,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,JDP Oram,30
335983,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,MS Gony,33
335984,Feroz Shah Kotla,1,Rajasthan Royals,GD McGrath,13
335984,Feroz Shah Kotla,1,Rajasthan Royals,B Geeves,24
335984,Feroz Shah Kotla,1,Rajasthan Royals,MF Maharoof,3
335984,Feroz Shah Kotla,2,Delhi Daredevils,MM Patel,25
335984,Feroz Shah Kotla,2,Delhi Daredevils,SR Watson,23
335984,Feroz Shah Kotla,2,Delhi Daredevils,SK Trivedi,7
335986,Eden Gardens,1,Deccan Chargers,AB Dinda,18
335986,Eden Gardens,1,Deccan Chargers,I Sharma,5
335986,Eden Gardens,1,Deccan Chargers,AB Agarkar,16
335986,Eden Gardens,2,Kolkata Knight Riders,WPUJC Vaas,10
335986,Eden Gardens,2,Kolkata Knight Riders,RP Singh,13
335986,Eden Gardens,2,Kolkata Knight Riders,SB Styris,3
335985,Wankhede Stadium,1,Mumbai Indians,P Kumar,14
335985,Wankhede Stadium,1,Mumbai Indians,Z Khan,14
335985,Wankhede Stadium,1,Mumbai Indians,JH Kallis,19
335985,Wankhede Stadium,2,Royal Challengers Bangalore,A Nehra,21
335985,Wankhede Stadium,2,Royal Challengers Bangalore,SM Pollock,9
335985,Wankhede Stadium,2,Royal Challengers Bangalore,DS Kulkarni,10
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,MM Patel,25
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,SR Watson,13
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,SK Trivedi,16
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,B Lee,26
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,S Sreesanth,21
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,JR Hopes,6
335988,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,GD McGrath,14
335988,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Mohammad Asif,11
335988,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,WPUJC Vaas,21
335988,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,RP Singh,27
335989,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,SM Pollock,25
335989,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,A Nehra,23
335989,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,DS Kulkarni,5
335989,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,JDP Oram,40
335989,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,MS Gony,12
335990,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,MM Patel,27
335990,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,SR Watson,21
335990,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,YK Pathan,10
335990,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,WPUJC Vaas,32
335990,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,RP Singh,25
335990,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,PP Ojha,16
335991,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,SM Pollock,27
335991,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,A Nehra,16
335991,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,DS Kulkarni,17
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,B Lee,6
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,IK Pathan,15
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,VRV Singh,13
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,S Sreesanth,5
335993,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,JDP Oram,16
335993,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,MS Gony,33
335993,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,P Amarnath,12
335993,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,AB Dinda,25
335993,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,I Sharma,10
335993,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,AB Agarkar,10
335992,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,SR Watson,15
335992,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sohail Tanvir,27
335992,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,MM Patel,15
335992,M Chinnaswamy Stadium,2,Rajasthan Royals,P Kumar,16
335992,M Chinnaswamy Stadium,2,Rajasthan Royals,Z Khan,21
335992,M Chinnaswamy Stadium,2,Rajasthan Royals,R Vinay Kumar,8
335994,Dr DY Patil Sports Academy,1,Mumbai Indians,RP Singh,7
335994,Dr DY Patil Sports Academy,1,Mumbai Indians,DNT Zoysa,12
335994,Dr DY Patil Sports Academy,1,Mumbai Indians,SB Bangar,3
335994,Dr DY Patil Sports Academy,1,Mumbai Indians,Shahid Afridi,5
335994,Dr DY Patil Sports Academy,2,Deccan Chargers,A Nehra,19
335994,Dr DY Patil Sports Academy,2,Deccan Chargers,SM Pollock,10
335994,Dr DY Patil Sports Academy,2,Deccan Chargers,DS Kulkarni,8
335994,Dr DY Patil Sports Academy,2,Deccan Chargers,ST Jayasuriya,10
335994,Dr DY Patil Sports Academy,2,Deccan Chargers,SD Chitnis,13
335995,"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,B Lee,14
335995,"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,IK Pathan,15
335995,"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,S Sreesanth,11
335995,"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,VRV Singh,5
335995,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,GD McGrath,21
335995,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Mohammad Asif,22
335995,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,MF Maharoof,12
335996,M Chinnaswamy Stadium,1,Chennai Super Kings,DW Steyn,8
335996,M Chinnaswamy Stadium,1,Chennai Super Kings,Z Khan,25
335996,M Chinnaswamy Stadium,1,Chennai Super Kings,P Kumar,3
335996,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,JDP Oram,19
335996,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,MS Gony,26
335997,Eden Gardens,1,Kolkata Knight Riders,SM Pollock,13
335997,Eden Gardens,1,Kolkata Knight Riders,A Nehra,9
335997,Eden Gardens,1,Kolkata Knight Riders,CRD Fernando,11
335997,Eden Gardens,1,Kolkata Knight Riders,DS Kulkarni,5
335997,Eden Gardens,1,Kolkata Knight Riders,DJ Bravo,2
335997,Eden Gardens,2,Mumbai Indians,AB Agarkar,7
335997,Eden Gardens,2,Mumbai Indians,I Sharma,27
335997,Eden Gardens,2,Mumbai Indians,AB Dinda,4
335998,Feroz Shah Kotla,1,Delhi Daredevils,DW Steyn,21
335998,Feroz Shah Kotla,1,Delhi Daredevils,Z Khan,32
335998,Feroz Shah Kotla,1,Delhi Daredevils,P Kumar,5
335998,Feroz Shah Kotla,2,Royal Challengers Bangalore,GD McGrath,23
335998,Feroz Shah Kotla,2,Royal Challengers Bangalore,Mohammad Asif,25
335998,Feroz Shah Kotla,2,Royal Challengers Bangalore,VY Mahesh,7
336000,Sawai Mansingh Stadium,1,Rajasthan Royals,AB Dinda,15
336000,Sawai Mansingh Stadium,1,Rajasthan Royals,I Sharma,11
336000,Sawai Mansingh Stadium,1,Rajasthan Royals,AB Agarkar,12
336000,Sawai Mansingh Stadium,1,Rajasthan Royals,Umar Gul,7
336000,Sawai Mansingh Stadium,2,Kolkata Knight Riders,SR Watson,23
336000,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Sohail Tanvir,21
336000,Sawai Mansingh Stadium,2,Kolkata Knight Riders,SK Trivedi,7
335999,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,S Sreesanth,24
335999,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,IK Pathan,14
335999,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,VRV Singh,12
335999,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,RP Singh,16
335999,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,DNT Zoysa,10
335999,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Shahid Afridi,11
335999,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,SB Bangar,4
336001,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,GD McGrath,6
336001,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mohammad Asif,7
336001,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,VY Mahesh,25
336001,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,PJ Sangwan,9
336001,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,M Ntini,25
336001,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,MS Gony,29
336001,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,JA Morkel,10
336003,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,I Sharma,12
336003,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,AB Agarkar,23
336003,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,AB Dinda,14
336003,"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,S Sreesanth,21
336003,"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,IK Pathan,10
336034,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,DP Vijaykumar,11
336034,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,RP Singh,21
336034,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,SB Styris,7
336034,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Shahid Afridi,7
336034,M Chinnaswamy Stadium,2,Deccan Chargers,DW Steyn,18
336034,M Chinnaswamy Stadium,2,Deccan Chargers,Z Khan,13
336034,M Chinnaswamy Stadium,2,Deccan Chargers,P Kumar,2
336005,Sawai Mansingh Stadium,1,Chennai Super Kings,Sohail Tanvir,3
336005,Sawai Mansingh Stadium,1,Chennai Super Kings,SR Watson,17
336005,Sawai Mansingh Stadium,1,Chennai Super Kings,MM Patel,4
336005,Sawai Mansingh Stadium,1,Chennai Super Kings,SK Trivedi,14
336005,Sawai Mansingh Stadium,2,Rajasthan Royals,M Ntini,18
336005,Sawai Mansingh Stadium,2,Rajasthan Royals,MS Gony,26
336004,Dr DY Patil Sports Academy,1,Mumbai Indians,GD McGrath,17
336004,Dr DY Patil Sports Academy,1,Mumbai Indians,Mohammad Asif,18
336004,Dr DY Patil Sports Academy,1,Mumbai Indians,VY Mahesh,15
336004,Dr DY Patil Sports Academy,2,Delhi Daredevils,SM Pollock,11
336004,Dr DY Patil Sports Academy,2,Delhi Daredevils,A Nehra,18
336004,Dr DY Patil Sports Academy,2,Delhi Daredevils,DJ Bravo,8
336006,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,S Sreesanth,9
336006,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,IK Pathan,10
336006,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Gagandeep Singh,7
336006,M Chinnaswamy Stadium,2,Kings XI Punjab,DW Steyn,15
336006,M Chinnaswamy Stadium,2,Kings XI Punjab,Z Khan,17
336006,M Chinnaswamy Stadium,2,Kings XI Punjab,P Kumar,12
336006,M Chinnaswamy Stadium,2,Kings XI Punjab,JH Kallis,8
336007,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,DP Vijaykumar,18
336007,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,RP Singh,13
336007,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,SB Styris,3
336007,"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,M Ntini,34
336007,"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,MS Gony,7
336007,"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,JA Morkel,9
336008,Dr DY Patil Sports Academy,1,Rajasthan Royals,SM Pollock,19
336008,Dr DY Patil Sports Academy,1,Rajasthan Royals,A Nehra,12
336008,Dr DY Patil Sports Academy,1,Rajasthan Royals,DS Kulkarni,17
336008,Dr DY Patil Sports Academy,2,Mumbai Indians,Sohail Tanvir,4
336008,Dr DY Patil Sports Academy,2,Mumbai Indians,MM Patel,22
336008,Dr DY Patil Sports Academy,2,Mumbai Indians,SK Trivedi,8
336009,Feroz Shah Kotla,1,Delhi Daredevils,MS Gony,24
336009,Feroz Shah Kotla,1,Delhi Daredevils,JA Morkel,26
336009,Feroz Shah Kotla,2,Chennai Super Kings,GD McGrath,13
336009,Feroz Shah Kotla,2,Chennai Super Kings,Mohammad Asif,15
336009,Feroz Shah Kotla,2,Chennai Super Kings,VY Mahesh,26
336009,Feroz Shah Kotla,2,Chennai Super Kings,PJ Sangwan,8
336010,Eden Gardens,1,Kolkata Knight Riders,DW Steyn,12
336010,Eden Gardens,1,Kolkata Knight Riders,Z Khan,13
336010,Eden Gardens,1,Kolkata Knight Riders,P Kumar,11
336010,Eden Gardens,1,Kolkata Knight Riders,R Vinay Kumar,5
336010,Eden Gardens,2,Royal Challengers Bangalore,AB Dinda,12
336010,Eden Gardens,2,Royal Challengers Bangalore,I Sharma,7
336010,Eden Gardens,2,Royal Challengers Bangalore,Umar Gul,13
336010,Eden Gardens,2,Royal Challengers Bangalore,SC Ganguly,3
336011,Sawai Mansingh Stadium,1,Deccan Chargers,Sohail Tanvir,20
336011,Sawai Mansingh Stadium,1,Deccan Chargers,SR Watson,17
336011,Sawai Mansingh Stadium,1,Deccan Chargers,MM Patel,13
336011,Sawai Mansingh Stadium,2,Rajasthan Royals,DP Vijaykumar,10
336011,Sawai Mansingh Stadium,2,Rajasthan Royals,RP Singh,9
336011,Sawai Mansingh Stadium,2,Rajasthan Royals,SB Styris,14
336011,Sawai Mansingh Stadium,2,Rajasthan Royals,PP Ojha,17
336013,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,S Sreesanth,25
336013,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,IK Pathan,13
336013,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,VRV Singh,15
336013,"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,MS Gony,19
336013,"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,JA Morkel,16
336014,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,WPUJC Vaas,17
336014,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,DP Vijaykumar,11
336014,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,SB Styris,5
336014,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,RP Singh,10
336014,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,AB Dinda,25
336014,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,I Sharma,16
336014,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Umar Gul,14
336015,Sawai Mansingh Stadium,1,Delhi Daredevils,AD Mascarenhas,20
336015,Sawai Mansingh Stadium,1,Delhi Daredevils,SR Watson,17
336015,Sawai Mansingh Stadium,1,Delhi Daredevils,MM Patel,10
336015,Sawai Mansingh Stadium,2,Rajasthan Royals,GD McGrath,6
336015,Sawai Mansingh Stadium,2,Rajasthan Royals,MF Maharoof,9
336015,Sawai Mansingh Stadium,2,Rajasthan Royals,PJ Sangwan,6
336016,"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,S Sreesanth,25
336016,"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,IK Pathan,11
336016,"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,PP Chawla,14
336016,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,DW Steyn,12
336016,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Z Khan,18
336016,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,P Kumar,12
336017,Eden Gardens,1,Kolkata Knight Riders,GD McGrath,9
336017,Eden Gardens,1,Kolkata Knight Riders,PJ Sangwan,20
336017,Eden Gardens,1,Kolkata Knight Riders,VY Mahesh,6
336017,Eden Gardens,2,Delhi Daredevils,Shoaib Akhtar,11
336017,Eden Gardens,2,Delhi Daredevils,I Sharma,11
336017,Eden Gardens,2,Delhi Daredevils,AB Dinda,15
336018,Wankhede Stadium,1,Chennai Super Kings,SM Pollock,9
336018,Wankhede Stadium,1,Chennai Super Kings,A Nehra,14
336018,Wankhede Stadium,1,Chennai Super Kings,DJ Bravo,5
336018,Wankhede Stadium,2,Mumbai Indians,MS Gony,31
336018,Wankhede Stadium,2,Mumbai Indians,JA Morkel,47
336020,Feroz Shah Kotla,1,Delhi Daredevils,DP Vijaykumar,15
336020,Feroz Shah Kotla,1,Delhi Daredevils,RP Singh,25
336020,Feroz Shah Kotla,1,Delhi Daredevils,PM Sarvesh Kumar,8
336020,Feroz Shah Kotla,2,Deccan Chargers,GD McGrath,33
336020,Feroz Shah Kotla,2,Deccan Chargers,Mohammad Asif,28
336020,Feroz Shah Kotla,2,Deccan Chargers,MF Maharoof,10
336021,Wankhede Stadium,1,Kolkata Knight Riders,SM Pollock,10
336021,Wankhede Stadium,1,Kolkata Knight Riders,A Nehra,12
336021,Wankhede Stadium,1,Kolkata Knight Riders,DJ Bravo,5
336021,Wankhede Stadium,2,Mumbai Indians,Shoaib Akhtar,29
336021,Wankhede Stadium,2,Mumbai Indians,I Sharma,34
336021,Wankhede Stadium,2,Mumbai Indians,AB Agarkar,5
336023,Sawai Mansingh Stadium,1,Rajasthan Royals,Z Khan,22
336023,Sawai Mansingh Stadium,1,Rajasthan Royals,P Kumar,20
336023,Sawai Mansingh Stadium,1,Rajasthan Royals,JH Kallis,9
336023,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Sohail Tanvir,6
336023,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,MM Patel,17
336022,Feroz Shah Kotla,1,Delhi Daredevils,S Sreesanth,33
336022,Feroz Shah Kotla,1,Delhi Daredevils,IK Pathan,13
336022,Feroz Shah Kotla,1,Delhi Daredevils,VRV Singh,22
336022,Feroz Shah Kotla,2,Kings XI Punjab,GD McGrath,18
336022,Feroz Shah Kotla,2,Kings XI Punjab,PJ Sangwan,12
336022,Feroz Shah Kotla,2,Kings XI Punjab,A Mishra,21
336022,Feroz Shah Kotla,2,Kings XI Punjab,V Sehwag,22
336024,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,DP Vijaykumar,11
336024,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,DNT Zoysa,23
336024,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Y Venugopal Rao,9
336024,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,RP Singh,14
336024,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,A Nehra,11
336024,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,DJ Bravo,9
336024,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,CRD Fernando,3
336024,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,RR Raje,9
336025,Eden Gardens,1,Kolkata Knight Riders,M Ntini,20
336025,Eden Gardens,1,Kolkata Knight Riders,MS Gony,15
336025,Eden Gardens,2,Chennai Super Kings,Shoaib Akhtar,14
336025,Eden Gardens,2,Chennai Super Kings,I Sharma,16
336025,Eden Gardens,2,Chennai Super Kings,AB Dinda,6
336025,Eden Gardens,2,Chennai Super Kings,AB Agarkar,7
336026,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,GD McGrath,9
336026,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,PJ Sangwan,19
336026,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,VY Mahesh,13
336026,M Chinnaswamy Stadium,2,Delhi Daredevils,DW Steyn,18
336026,M Chinnaswamy Stadium,2,Delhi Daredevils,Z Khan,27
336026,M Chinnaswamy Stadium,2,Delhi Daredevils,P Kumar,15
336026,M Chinnaswamy Stadium,2,Delhi Daredevils,JH Kallis,11
336027,Eden Gardens,1,Kolkata Knight Riders,Sohail Tanvir,9
336027,Eden Gardens,1,Kolkata Knight Riders,MM Patel,10
336027,Eden Gardens,1,Kolkata Knight Riders,SR Watson,13
336027,Eden Gardens,2,Rajasthan Royals,AB Dinda,9
336027,Eden Gardens,2,Rajasthan Royals,I Sharma,17
336027,Eden Gardens,2,Rajasthan Royals,AB Agarkar,16
336027,Eden Gardens,2,Rajasthan Royals,Umar Gul,0
336028,Wankhede Stadium,1,Kings XI Punjab,SM Pollock,14
336028,Wankhede Stadium,1,Kings XI Punjab,A Nehra,16
336028,Wankhede Stadium,1,Kings XI Punjab,VS Yeligati,13
336028,Wankhede Stadium,2,Mumbai Indians,S Sreesanth,28
336028,Wankhede Stadium,2,Mumbai Indians,IK Pathan,28
336028,Wankhede Stadium,2,Mumbai Indians,VRV Singh,12
336029,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,M Ntini,16
336029,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,MS Gony,7
336029,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,DW Steyn,25
336029,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,P Kumar,15
336029,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,A Kumble,2
336029,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,JH Kallis,2
336031,"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,S Sreesanth,21
336031,"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,VRV Singh,18
336031,"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,RR Powar,3
336031,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,RP Singh,25
336031,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,DP Vijaykumar,24
336031,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Y Venugopal Rao,12
336031,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,SB Styris,13
336032,Feroz Shah Kotla,1,Mumbai Indians,GD McGrath,14
336032,Feroz Shah Kotla,1,Mumbai Indians,B Geeves,26
336032,Feroz Shah Kotla,1,Mumbai Indians,MF Maharoof,3
336032,Feroz Shah Kotla,1,Mumbai Indians,VY Mahesh,17
336032,Feroz Shah Kotla,2,Delhi Daredevils,SM Pollock,25
336032,Feroz Shah Kotla,2,Delhi Daredevils,A Nehra,13
336032,Feroz Shah Kotla,2,Delhi Daredevils,A Nel,12
336032,Feroz Shah Kotla,2,Delhi Daredevils,DS Kulkarni,6
336033,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,M Ntini,22
336033,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,MS Gony,32
336033,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,JA Morkel,13
336033,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Sohail Tanvir,21
336033,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,YK Pathan,15
336033,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,MM Patel,19
336033,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Pankaj Singh,10
336002,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,A Kumble,10
336002,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,DW Steyn,19
336002,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,JH Kallis,12
336002,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,WPUJC Vaas,18
336002,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,RP Singh,12
336002,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,SB Bangar,6
336002,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,DP Vijaykumar,7
336035,Eden Gardens,1,Kings XI Punjab,Umar Gul,8
336035,Eden Gardens,1,Kings XI Punjab,I Sharma,26
336035,Eden Gardens,1,Kings XI Punjab,BAW Mendis,13
336035,Eden Gardens,2,Kolkata Knight Riders,IK Pathan,19
336035,Eden Gardens,2,Kolkata Knight Riders,S Sreesanth,21
336035,Eden Gardens,2,Kolkata Knight Riders,RR Powar,11
336036,Sawai Mansingh Stadium,1,Mumbai Indians,Sohail Tanvir,11
336036,Sawai Mansingh Stadium,1,Mumbai Indians,SR Watson,5
336036,Sawai Mansingh Stadium,1,Mumbai Indians,Pankaj Singh,12
336036,Sawai Mansingh Stadium,1,Mumbai Indians,YK Pathan,1
336036,Sawai Mansingh Stadium,2,Rajasthan Royals,SM Pollock,21
336036,Sawai Mansingh Stadium,2,Rajasthan Royals,A Nehra,11
336036,Sawai Mansingh Stadium,2,Rajasthan Royals,CRD Fernando,4
336037,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,M Ntini,10
336037,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,MS Gony,16
336037,"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,RP Singh,22
336037,"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,DP Vijaykumar,19
336037,"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Shahid Afridi,3
336012,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,SM Pollock,20
336012,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,A Nehra,14
336012,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,CRD Fernando,2
336012,M Chinnaswamy Stadium,2,Mumbai Indians,A Kumble,9
336012,M Chinnaswamy Stadium,2,Mumbai Indians,DW Steyn,6
336012,M Chinnaswamy Stadium,2,Mumbai Indians,P Kumar,21
336012,M Chinnaswamy Stadium,2,Mumbai Indians,R Vinay Kumar,3
336019,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,MM Patel,17
336019,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,SR Watson,28
336019,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Pankaj Singh,6
336019,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,IK Pathan,8
336019,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,S Sreesanth,21
336019,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,JR Hopes,9
336038,Wankhede Stadium,1,Rajasthan Royals,GD McGrath,22
